City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,lebu,-37.6167,-73.65,285.72,89,100,6.95,CL,1691621325
234,yangjiang,21.85,111.9667,299.97,83,38,1.51,CN,1691621322
235,ribeira grande,38.5167,-28.7,297.37,88,20,3.6,PT,1691621325
236,nakama,33.8167,130.7,301.56,83,100,4.92,JP,1691621325
237,smithers,54.7804,-127.1743,293.33,49,75,3.6,CA,1691621325
238,antsiranana,-12.2787,49.2917,294.54,81,1,4.17,MG,1691621326
239,conde,-7.2597,-34.9075,297.85,78,75,4.12,BR,1691621326
240,ancud,-41.8697,-73.8203,284.26,82,100,8.23,CL,1691621326
241,port augusta,-32.5,137.7667,284.55,74,1,2.32,AU,1691621327
242,weno,7.4515,151.8468,302.12,84,75,1.54,FM,1691621327
243,kingscliff,-28.2667,153.5667,291.91,77,5,1.54,AU,1691621328
244,baise city,23.8997,106.6133,298.91,97,64,0.3,CN,1691621328
245,saint-philippe,-21.3585,55.7679,292.92,80,35,4.16,RE,1691621328
246,porto novo,6.4965,2.6036,299.05,87,100,4.17,BJ,1691621328
247,cozumel,20.5083,-86.9458,306.45,71,40,3.6,MX,1691621128
248,byron bay,-28.65,153.6167,290.43,60,3,2.18,AU,1691621022
249,khilok,51.3674,110.4676,290.07,99,100,1.66,RU,1691621329
250,dolores,-36.3132,-57.6792,282.83,93,70,3.03,AR,1691621329
251,morehead city,34.7229,-76.726,305.16,74,0,6.69,US,1691621262
252,shihezi,44.3,86.0333,296.13,46,1,1.78,CN,1691621329
253,thompson,55.7435,-97.8558,293.24,45,40,2.57,CA,1691621329
254,kill devil hills,36.0307,-75.676,303.15,70,0,2.57,US,1691621329
255,yeraliyev,43.2,51.65,301.78,45,0,2.22,KZ,1691621329
256,dordrecht,51.81,4.6736,288.2,82,7,0.45,NL,1691621330
257,huarmey,-10.0681,-78.1522,293.84,76,31,4.66,PE,1691621330
258,vadso,70.0744,29.7487,294.64,82,0,2.57,NO,1691621330
259,tofol,5.3248,163.0078,303.03,79,75,5.14,FM,1691621330
260,mount isa,-20.7333,139.5,291.02,45,6,1.54,AU,1691621330
261,puerto armuelles,8.2833,-82.8667,304.14,91,76,1.34,PA,1691621331
262,sosnovo,60.5514,30.2144,288.65,84,100,1.1,RU,1691621331
263,daru,-9.0763,143.2092,297.04,84,87,6.7,PG,1691621331
264,keflavik,64.0049,-22.5624,286.1,71,0,3.6,IS,1691621331
265,bodaybo,57.8506,114.1933,292.94,71,99,1.05,RU,1691621331
266,kanungu,-0.9575,29.7897,290.98,59,42,1.2,UG,1691621331
267,tazovsky,67.4667,78.7,281.32,84,88,8.89,RU,1691621332
268,janakpur,26.7183,85.9065,299.1,93,99,3.2,NP,1691621332
269,camargo,27.6667,-105.1667,311.16,14,18,1.97,MX,1691621332
270,mena,51.5217,32.2157,286.76,67,1,2.34,UA,1691621332
271,dzialoszyn,51.117,18.8652,283.01,90,89,1.05,PL,1691621332
272,gulf shores,30.246,-87.7008,306.69,61,8,3.58,US,1691621332
273,naracoorte,-36.9579,140.7383,281.96,92,59,2.56,AU,1691621332
274,uzhur,55.3036,89.8339,286.49,85,53,2.32,RU,1691621333
275,fale old settlement,-9.3852,-171.2468,301.56,78,40,6.61,TK,1691621333
276,acarau,-2.8856,-40.12,298.24,85,67,5.62,BR,1691621333
277,lorengau,-2.0226,147.2712,301.08,75,100,6.97,PG,1691621333
278,ust-nera,64.5667,143.2,291.43,53,10,1.37,RU,1691621333
279,mount gambier,-37.8333,140.7667,283.7,69,100,4.08,AU,1691621333
280,santyoku,37.4406,129.1708,298.03,98,100,5.97,KR,1691621333
281,oamaru,-45.0784,170.9801,280.03,60,20,5.81,NZ,1691621334
282,tsiombe,-25.3,45.4833,291.78,90,4,2.99,MG,1691621334
283,caleta de carquin,-11.0925,-77.6267,292.97,78,35,5.48,PE,1691621334
284,sarykemer,43.0,71.5,295.86,33,0,4.15,KZ,1691621334
285,izluchinsk,60.9794,76.9242,284.16,89,100,6.9,RU,1691621334
286,jirja,26.3383,31.8916,303.27,26,0,3.09,EG,1691621334
287,cabedelo,-6.9811,-34.8339,298.52,80,53,7.31,BR,1691621334
288,alaghsas,17.0187,8.0168,297.22,71,59,17.23,NE,1691621335
289,ballycastle,55.2044,-6.243,290.67,99,100,3.36,GB,1691621335
290,kokopo,-4.352,152.2633,300.39,71,54,7.38,PG,1691621335
291,balqash,46.8481,74.995,293.48,77,40,5.0,KZ,1691621335
292,shache,38.4167,77.2406,300.21,26,5,0.87,CN,1691621335
293,mar del plata,-38.0023,-57.5575,285.98,92,75,4.12,AR,1691621040
294,bengkulu,-3.8004,102.2655,296.19,90,44,2.54,ID,1691621336
295,tanjungtiram,4.0613,98.3699,296.79,92,95,1.76,ID,1691621336
296,flin flon,54.7682,-101.865,293.06,37,20,4.12,CA,1691621336
297,lebanon,36.2081,-86.2911,296.78,93,75,5.14,US,1691621229
298,havre,49.5833,0.3333,289.37,94,0,2.57,FR,1691621336
299,petropavlovsk-kamchatsky,53.0452,158.6483,290.48,59,20,1.0,RU,1691621336
300,karratha,-20.7377,116.8463,293.19,48,0,2.82,AU,1691621337
301,lluta,-16.0147,-72.0142,285.56,42,0,1.53,PE,1691621337
302,starkville,33.4504,-88.8184,307.08,59,20,2.06,US,1691621112
303,lompoc,34.6391,-120.4579,298.58,74,75,4.12,US,1691621337
304,veinticinco de mayo,-35.4323,-60.1727,285.36,73,94,0.45,AR,1691621337
305,vila do maio,15.1333,-23.2167,299.59,71,100,6.2,CV,1691621337
306,jayapura,-2.5333,140.7,299.81,83,76,2.17,ID,1691621338
307,san patricio,28.017,-97.5169,310.67,52,0,9.74,US,1691621338
308,pasil,17.3833,121.1333,294.54,84,100,1.41,PH,1691621338
309,makokou,0.5738,12.8642,295.36,89,100,1.08,GA,1691621338
310,bathsheba,13.2167,-59.5167,302.49,79,20,4.12,BB,1691621338
311,roza,54.9163,61.4586,289.12,83,26,3.4,RU,1691621338
312,partapur,23.6,74.1667,298.17,86,100,4.15,IN,1691621339
313,enewetak,11.3474,162.3373,301.82,76,72,6.63,MH,1691621339
314,barrouallie,13.2333,-61.2667,299.94,83,20,1.03,VC,1691621339
315,akureyri,65.6835,-18.0878,281.11,81,40,3.6,IS,1691621339
316,el fasher,13.6279,25.3494,299.55,64,68,3.34,SD,1691621339
317,malango,-2.9627,119.9001,292.06,96,69,0.64,ID,1691621339
318,coahuayana de hidalgo,18.7,-103.6583,304.09,72,31,2.23,MX,1691621339
319,colonia,50.9333,6.95,288.68,80,0,2.06,DE,1691621181
320,hithadhoo,-0.6,73.0833,300.27,75,76,2.14,MV,1691621340
321,fort mcmurray,56.7268,-111.381,287.92,94,100,5.66,CA,1691621126
322,deniliquin,-35.5333,144.9667,283.15,88,53,5.89,AU,1691621340
323,aral,40.5156,81.2636,299.25,30,0,3.64,CN,1691621340
324,brak,27.5496,14.2714,300.75,30,0,5.08,LY,1691621340
325,mili,6.0815,171.735,301.16,72,67,0.53,MH,1691621340
326,mitchell,43.7094,-98.0298,302.14,48,0,0.0,US,1691621341
327,northam,51.0333,-4.2167,290.71,95,73,2.72,GB,1691621341
328,yuzhno-kurilsk,44.0306,145.8556,292.96,99,100,3.82,RU,1691621341
329,polyarnyy,69.1989,33.4478,291.18,75,0,3.15,RU,1691621341
330,codrington,-38.2667,141.9667,283.75,76,62,6.97,AU,1691621341
331,debre birhan,9.6833,39.5333,284.48,80,77,0.59,ET,1691621341
332,puerto leguizamo,-0.1934,-74.7819,297.87,91,94,0.77,CO,1691621342
333,same,-4.0667,37.7333,289.86,86,9,0.81,TZ,1691621342
334,terekli-mekteb,44.1671,45.8698,301.18,49,7,3.45,RU,1691621342
